CityCode,City,Country,Latitude,Longitude
410,Sivas,TR,39.74833,37.01611
447,Trabzon,TR,41.005,39.72694
85,Douliu,TW,23.70944,120.54333
131,Hsinchu,TW,24.80361,120.96861
147,Kaohsiung,TW,22.61626,120.31333
151,Keelung,TW,25.12825,121.7419
325,Taichung,TW,24.1469,120.6839
326,Tainan,TW,22.99083,120.21333
327,Taipei,TW,25.04776,121.53185
328,Taitung City,TW,22.7583,121.1444
332,Taoyuan City,TW,24.99368,121.29696
6,Albuquerque,US,35.08449,-106.65114
16,Atlanta,US,33.749,-84.38798
18,Austin,US,30.26715,-97.74306
20,Baltimore,US,39.29038,-76.61219
32,Boise,US,43.6135,-116.20345
35,Boston,US,42.35843,-71.05977
453,Brooklyn,US,40.6501,-73.94958
538,Charlotte,US,35.22709,-80.84313
459,Chicago,US,41.85003,-87.65005
68,Columbus,US,39.96118,-82.99879
77,Dallas,US,32.78306,-96.80667
81,Denver,US,39.73915,-104.9847
428,Detroit,US,42.33143,-83.04575
91,El Paso,US,31.75872,-106.48693
92,Fort Worth,US,32.72541,-97.32085
95,Fresno,US,36.74773,-119.77237
123,Hartford,US,41.76371,-72.68509
130,Houston,US,29.76328,-95.36327
136,Indianapolis,US,39.76838,-86.15804
467,Jackson,US,32.29876,-90.18481
454,Jacksonville,US,30.33218,-81.65565
164,Las Vegas,US,36.17497,-115.13722
178,Los Angeles,US,34.05223,-118.24368
187,Manhattan,US,40.78343,-73.96625
402,Miami,US,25.77427,-80.19366
193,Milwaukee,US,43.0389,-87.90647
226,Oakland,US,37.80437,-122.2708
229,Oklahoma City,US,35.46756,-97.51643
247,Philadelphia,US,39.95233,-75.16379
248,Phoenix,US,33.44838,-112.07404
254,Portland,US,45.52345,-122.67621
259,Providence,US,41.82399,-71.41283
264,Queens,US,40.68149,-73.83652
267,Raleigh,US,35.7721,-78.63861
272,Richmond,US,37.55376,-77.46026
280,Sacramento,US,38.58157,-121.4944
282,Saint Paul,US,44.94441,-93.09327
285,Salt Lake City,US,40.76078,-111.89105
288,San Antonio,US,29.42412,-98.49363
289,San Diego,US,32.71571,-117.16472
290,San Francisco,US,37.77493,-122.41942
291,San Jose,US,37.33939,-121.89496
296,Seattle,US,47.60621,-122.33207
314,Staten Island,US,40.56233,-74.13986
335,The Bronx,US,40.849850000000004,-73.86641
417,Tucson,US,32.22174,-110.92648
360,Washington D.C.,US,38.89511,-77.03637
508,Hạ Long,VN,20.95045,107.07336
535,Haiphong,VN,20.86481,106.68345
121,Hanoi,VN,21.0245,105.84117
132,Huế,VN,16.4619,107.59546
519,Pristina,XK,42.67272,21.16688
501,Cape Town,ZA,-33.92584,18.42322
506,Durban,ZA,-29.8579,31.0292
462,East London,ZA,-33.01529,27.91162
468,Johannesburg,ZA,-26.20227,28.04363
474,Klerksdorp,ZA,-26.85213,26.66672
476,Middelburg,ZA,-25.77507,29.46482
482,Port Elizabeth,ZA,-33.96109,25.61494
483,Pretoria,ZA,-25.74486,28.18783
520,Richards Bay,ZA,-28.78301,32.03768
490,Vereeniging,ZA,-26.67313,27.92615
529,Worcester,ZA,-33.64651,19.44852
